Brief,Beleg,VK,Briefschreiber
"Wilhelm Grimm an Mone. Kassel, 26. Juli 1822","Aber schon beim Durchblättern habe ich gesehen, wie reichhaltig das Buch ist u. wie viele Mühe es Ihnen muß ge45 macht haben",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 17. Februar 1840","Der antrag wegen der hanöv. angelegenheiten, von dem Sie in der zeitung werden gelesen haben",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, [3. Januar 18391", die Frage ob sie aus freien Stücken es würden gethan haben,132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 11. Mai 1856","Hierbei, hochgeehrter freund, übersende ich Ihnen 1. die letzte correctur, die viel mühe wird gemacht haben",132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 3. Dezember 1841.","das bild meines bruders, das die Leipziger nun werden betrachtet haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 28. bis 31. Mai [1805].",worüber er sich um mit dem Weis zu reden recht mag gefreut haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 28. bis 31. Mai [1805].","woselbst der Bucher 230 betrunken, kurioses Zeug soll gemacht haben,",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 18. Juni 1811. ","Vom Louis ist ein Brief kommen, wornach Docen einen von ihm nicht muß abgeschickt haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 30. Januar bis 1. Februar 1815.",welcher dort die Hitzig. Buchh. soll übernommen haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 3. März 1838.",so daß wir mit keiner Verfassungsfrage etwas sollten zu thun haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 7. März 1838.",daß die Stände sich für incompetent sollen erklärt haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 14. April 1838.",daß Leist selbst soll ausgerufen haben ,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 1. Mai 1838.","weil man dort
einige Mäuse will vernommen haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 3. Dezember [1809].",da Conrad recht gut wird gewußt haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 4. September 1810.","und Ihr an meiner glücklichen Ankunft nicht werdet gezweifelt
5 haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 4. September 1810","deßen Namen du wohl
wirst gehört haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 6. Mai 1823.","der mich auch noch einige
Tage später hier würde getroffen haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 21. Februar 1838.",so wie er es bei einem Spruchcolleg würde abgefaßt haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 13. August 1838.",wo sich die beiden höchsten Behörden werden umarmt haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Ilsenburg, 17. August 1856.","eine rolle, die dir Hermann wird gegeben haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Frankfurt a. M.,
25. September 1815.","hatte Savigny dir noch eine kurze
Einladung geschickt, die du aber nicht mehr wirst erhalten haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 25. September 1838.","daß ich bis zum 5t
 Octbr. Abends die Wohnung würde
geräumt haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg,
16. bis 25. Juni [1805]. ",was ich auch würde gethan haben ,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Frankfurt a. M.,
25. September 1815.",die du aber nicht mehr wirst erhalten haben.,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 6. Mai 1814.","Daß ihr euch nach dem 25, wo
dein Brief schließt, noch solltet gefunden haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 3. Dezember [1809].","spricht von einem Brief den du von ihm müßtest empfangen
haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 13. August 1838.",wo sich die beiden höchsten Behörden werden umarmt haben.,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Halle, 14. April [1809].",wenn ich den Arzt würde gesprochen haben,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 7. März 1812.",was wir ihrer schwachen Brust halber selbst nie würden zugegeben haben,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, 10. [11.?] bis 12. Mai [1805].",wenn Sie ihn werden gele10 sen haben,132,Wilhelm
"Wilhelm Grimm an Dorothea Grimm geb. Zimmer.
Marburg, 4. September 1805.",daß Sie es recht schön werden arangirt haben,132,Wilhelm
"Jacob (und Wilhelm) Grimm an Henriette Philippine Zimmer.
Kassel, 8. Oktober 1813.","ich weiß nicht, ob er sie wird bestellt haben",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Freienwalde,
10. September 1848.",was eine spaltung Deutschlands wird abwenden können,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Februar 1838.",was an andern Orten nicht gekönnte gesagt werden,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Marburg, 4. Juli 1805.",wovon sich seine Mutter wird souteniren können,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 29. Dezember 1838","eine Ausnahme, die 25 Sie sich müßen gefallen laßen",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 19. November 1840"," so 5 habe ich der Dieterichischen buchhandlung den auftrag gegeben ein exem- plar für Sie bereit zu halten, falls Sie es sollten abholen laßen. ",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 20. November 1838","Wie ich höre hat der K den Stadtdirector Rumann, nachdem seine letzte persönliche Unterhaltung mit ihm vor einigen Wochen scheiterte, wollen arretieren lassen",132,Wilhelm
"Wilhelm Grimm an Karajan. Berlin, 28. April 1841","ob Sie mir durch einen fähigen mann, etwa durch hn Goldhann, (wenn Ihnen nicht ein beßerer bekannt ist) eine sorgfältige, buchstäblich genaue abschrift der dortigen handschrift können machen laßen",132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 2. März 1854", ich freute mich daß ich es endlich konnte einbinden lassen,132,Wilhelm
"Wilhelm Grimm an Hirzel. Ilsenburg, 10. August 1856",Sie würden mir einen gefallen erzeigen wenn Sie ihm 25 das bild auf meine kosten wollten zukommen lassen,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [1. April 1809].",daß sie die Stühle durch R. alte Magd aus der 55 Loge im Theater möge holen laßen,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 13. November [1809].",woher ich es leicht kann abholen laßen,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 11. November 1815.",wahr35 scheinlich wird man mich noch ein Jahr oder länger wollen warten laßen,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Leipzig, 14. Mai 1816.",damit man einen Rahmen vorher kann machen laßen,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 3. September 1838.",der sie wieder an dich möge zurück gehen lassen,132,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel, 14. Juni 1811.","ich habs etliche mal
hier bei einem wollen machen laßen",132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, 25. September 1805.","falls ich mich hier muß examiniren laßen,",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg,
[14.] September [1810].",welches sich nicht wird heben laßen,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 4. März 1841", (wie im testament selbst soll ange- ordnet sein),132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 6. März 1856","diese werden nach dem bisherigen maßstab drei bogen im druck ausmachen, die doch wol nicht bis zum 10ten märz können ge5 setzt sein",132,Wilhelm
"Wilhelm Grimm an Riedel. Berlin, [4. März 1845]","Sie haben also ganz recht gethan anzumerken daß degen in diesem sinne bei Logau vorkommt, wo die alte bedeutung mag untergegangen sein",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 11. August 1840","aber leidenschaftliche von natur parteiische menschen, wie Heyne mag gewesen 25 sein",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 22. November [lies Dezember] 1838",der kaum vor seiner Abreise würde angelangt sein,132,Wilhelm
"Wilhelm Grimm an Zacher. Berlin, 18. November 1856.",Ihren brief vom 17ten April habe ich nicht eher beantworten wollen als bis die Bukarester inschrift der academie würde zugekommen sein,132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 6. Februar 1847",da er von seiner reise noch nicht wird zurück gekehrt sein.,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, [12. Juni 1812].",wie es da mag hergegangen seyn,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 28. Juli 1848.",wo Hermann noch nicht wird zurück gekehrt sein,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Ilsenburg, 18. August 1856.","um eine aufregung zu mildern, die nicht ganz wird zu verhindern sein",132,Wilhelm
"Wilhelm (und Jacob) Grimm an Henriette Philippine Zimmer.
Kassel, 8. Juni 1810.","daß es selbst in
Paris wohlfeiler soll zu leben seyn",132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, [Mitte Oktober 1810] ","daß
ich möge angestellt seyn",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Ilsenburg, 18. August 1856.","um eine aufregung zu mildern, die nicht ganz wird zu verhindern sein.",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Höxter, 28. [lies 29.] Juli 1813.",daß es dir doch in einigen Stunden angenehm würde gewesen seyn,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 28. Juli 1848.","wo Hermann noch
nicht wird zurück gekehrt sein.",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 6. Mai 1814.",weil dir das von selbst würde zugefallen seyn,132,Wilhelm
"Wilhelm Grimm an Riedel. Berlin, [4. März 1845].",(noch immer ist einiges wenn auch nicht bedeutendes zurück das muß ausgezogen werden) ,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 14. September 1839","eine unabhängige öffentli- ehe meinung, die sich über die regierung und souverainetät stelle, und des- 15 halb nicht dürfe geduldet werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 13. Juni 1841","denn was von den allerdings wichtigen briefen darf gedruckt werden, weiß man noch nicht",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. Januar 1839","nicht zu vergessen, daß ,derselben' müße gesetzt werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 8. Mai 1841",ich hatte lust zu fragen ob ihm auch ein mohr oder heiducke müße ver- gütet werden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 2. August 1839","eine frau, die rheu- matischer schmerzen wegen mußte gebürstet werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 5. April 1840","da mittel, wie blutige1 U. dgl. 5 mußten angewendet werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 4. März 1841",welches den land- ständen in einer beglaubigten abschrift (wie im testament selbst soll ange- ordnet sein) muß mitgetheilt werden,132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 5. August 1843","weil unser 13 dem alten laut, der zwischen f und z liegt entspricht, und von ff muß unterschieden werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 11. Februar 1840",und wenn auch wirklich eine verletzung der ver- fassung kann gefolgert werden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 23. Dezember 1838",als sie hernach 10 mit aller Vorsicht in ein anderes beigeschobenes U. erwärmtes Bett konnte gebracht werden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 8. Oktober [lies 2. und ? 3. November] 1838"," wo- nach die Gesandten, die gegen Preußen gestimmt hatten, sollten abberufen werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 14. September 1839",(wie es jetzt noch solle ausgeführt werden ist nicht gesagt),132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. Januar 1840","da die unterstützung die sie bisher empfangen hätten, nicht länger solle bewilligt werden,",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 12. November 1840","Ich merke zu Jacobs beilage an daß, weil das dach des museums soll repa- riert werden, ",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 30. November 1840","unsere protestation oder, wie richtiger sollte gesagt werden, unsere erklä- rung, ",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 31. Dezember 1840","wir werden wo1 in der mitte März dort sein müßen, zumal wenn vorle- sungen sollen gehalten werden.",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 22. bis 28. Juli 1842","da er auf ein paket warten mußte, das nach Cassel soll abgesendet werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 24. und 27. Juni 1843","die lieder, die bei seiner bestattung sollten gesungen 45 werden",132,Wilhelm
"Wilhelm Grimm an Karajan. Berlin, [24. Oktober 1849]","ich habe nämlich hier eine gelegenheit gefunden, durch welche vielleicht mein wunsch kann erfüllt 10 werden",132,Wilhelm
"Wilhelm und Jacob Grimm an Reimer.  Berlin, 18. Dezember 1851",auch war angemessen gefunden daß von dem ersten hefte mehr als 5000 expl. sollten abgedruckt werden,132,Wilhelm
"Wilhelm und Jacob Grimm an Reimer.  Berlin, 18. Dezember 1851"," und daß wir dann festsetzen, wie viel exempl. über 5000 noch zu dieser ersten auflage sollen gerechnet werden",132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 22. Juni 1852",in den briefen an Zelter ist schon der gedanke daß sie einmal sollen gedruckt werden zu erkennen,132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 10. April 1855",die nachricht daß es besser gehe und die hochzeit in diesen 5 tagen solle gefeiert werden,132,Wilhelm
"Wilhelm Grimm an Reimer. Berlin, 28. Januar 1847",die natürliche folge davon ist daß auch das honorar demgemäß muß festgesetzt werden,132,Wilhelm
"Wilhelm Grimm an Reimer. Berlin, 15. September 1847","weil aus den schriftstellern, welche die grundlage des buchs ausmachen, noch manches könnte nachgetragen werden",132,Wilhelm
"Wilhelm und Jacob Grimm an Reimer.  Berlin, 18. Dezember 1851",wenn einmal der stoff bewältigt ist und vergleichungen können angestellt werden,132,Wilhelm
"Wilhelm Grimm an Hirzel. Kassel, 20. Dezember 1839",ich denke mir daß das mit etwa 500 rthlrn könne bestritten werden,132,Wilhelm
"Wilhelm Grimm an Reimer. Berlin, 15. September 1847","wer soll dann entscheiden, ob 30 das eine solche kann genannt werden",132,Wilhelm
"Wilhelm Grimm an den Verlag S. Hirzel. Berlin, 25. Juni 1857",ich habe mit herrn Hirzel mehrmals festgestellt daß nur alle 14 tage ein bogen kann ge- 5 druckt werden,132,Wilhelm
"Wilhelm Grimm an Mone. Kassel, 26. Juli 1822","man fühlt leicht[,] daß die Sache neu muß vorgenommen werden,",132,Wilhelm
"Wilhelm Grimm an Hoffmann von Fallersleben. Kassel, 26. August 1820","daß ich ein[!] literarischen Wunsch hätte, der in Holland könnte erfüllt werden",132,Wilhelm
"Wilhelm Grimm an Hoffmann von Fallersleben. Kassel, 30. März 1839","ich selbst bin dabei, und sehe immer deutlicher welch ein schönes ziel kann erreicht werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 30. November 1840",daß die rede auf Müller von Ritter entweder nur mit beziehung auf Müllers verhalten bei den politischen er- -eignissen kann gehalten werden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 5. Januar 1839",als ich bemerkte daß Sie die Bekanntmachung auch nicht würden erlaubt haben,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. Januar 1839",Daß hunderte wie Bergmann würden gehandelt haben,132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 24. und 27. Juni 1843","daß es ihn, wie man sagt, selbst in verlegenheit würde gesetzt haben",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 31. März 1844","wie ein Staat in diesem 40 fall, der bei ihm durchaus unmöglich war, würde gehandelt haben",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 6. März 1839",er schrieb also an die kurfürstin 20 daß er sei verhindert worden i,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 14. September 1839",warum das 10 buch nicht sei censiert worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 10. Oktober 1839",daß er sei veranlaßt worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 20. März 1840",daß Eichhorn um ein gutachten sei 5 ersucht worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 22. bis 28. Juli 1842","ich habe behauptet daß dies ebenso in Göttingen gehalten werde, und unter Georg IV U. Wilhelm IV das bildnis von Georg III sei beibehalten worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 21. Januar 1843","man erzählt daß bei dem besuch des Prinzen Wilhelm V. P, des vaters der kronprincessin, in Walhalla, sich D' Luther auch darin gefunden habe, nachher aber wieder in sein verließ sei gebracht worden ",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 11. Dezember 1840",daß wir von Dahlmann zu der erklärung sind verleitet worden,132,Wilhelm
"Wilhelm Grimm an Ilugo. Berlin, 21. Oktober 1841","wenn man nach den reden urtheilen darf, die am 18'"" bei dem festmahl der universität sind gehalten worden.",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 14. und 23. Februar 1843",daß die diebereien in der letzten zeit hier im grandiosen style sind ge35 trieben worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 3. Januar 1838 [lies 2. Januar 18391",daß einige Puncte des io Grundgesetzes vom Könige Wilhelm ohne weiteres wären vorgeschrieben worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 2. Mai 1844","die aussicht an die hiesige universität berufen zu werden abgeschnitten, die ihm allerdings war eröffnet worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 9. [und 12. ?] August 1844","Humboldt brachte den Prinzen V. Canino mit, der wegen seiner naturhistorischen arbeiten vor noch nicht lange zum correspondenten OehrenmitgliedO war ernannt worden[",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. Januar 1840",daß in der vorigen ständeversammlung Savigny als autorität in diesem streite ist citiert worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 3. Mai 1840","der oberbürgermeister Schomburg, dessen Sohn jede hoffnung zu einer anstellung hier ist genommen worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 3. Mai 1840","in einem andern lande, wo der sohn bereits ist angenommen worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 20. und 21. Januar 1841",da der älteste seiner söhne auf das gymnasium ist aufgenommen worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 4. März 1841","ohngeachtet er, wie ich höre, in die preuß. staatszeitung ist aufgenommen worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 22. Mai 1841","daß dem Jacob heute durch den französischen geschäftsträger (Bresson kommt, trotz aller zeitungs nachrich5 ten, doch in kurzem wieder hierher zurück) das kreuz der ehrenlegion ist überreicht worden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 16. April 1843",und für welche der seßel so eben mit neuen springfedern frisch ist ausgepolstert worden,132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 2. Mai 1844","daß nach der verordnung ein mitglied der academiv der wissenschaften eintreten müße, wie auch wirklich Lichtenstein, der naturforscher, ist erwählt worden",132,Wilhelm
